pno	pnyear	pndate	authority	appyear	appdate	inventor	inventor-count	assignee	assignee-count	keyword	ipc	app_gp
EP3509674A1	2019	2019-07-17	EP	2017	2017-09-11	GB`HEWSON, Karl, James;GB`BOSTOCK, George;GB`SAVELL, George, Robert, Michael;GB`DAVIES, James, Alexander;GB`HART, Oliver;GB`SHENKER, Joshua, Arieh;GB`MORRIS, Matthew, Alexander;GB`FORDHAM, Matthew, Keith	8	GB`Norton Healthcare Limited	1	DOSE SETTING MECHANISM;SETTING MECHANISM;MECHANISM;DOSE SELECTOR;RATCHET COMPONENT;CHARGING FORCE;DOSE SELECTOR STORE ENERGY;TORQUE FEATURE;DEFINED LIMIT;INJECTION DEVICE.	A61M 5/20;A61M 5/24;A61M 5/315	GB`NORTON HEALTHCARE
EP3509673A1	2019	2019-07-17	EP	2017	2017-09-11	GB`HEWSON, Karl, James;GB`BOSTOCK, George;GB`SAVELL, George, Robert, Michael	3	GB`Norton Healthcare Limited	1	DOSE DELIVERY MECHANISM;DELIVERY MECHANISM;MECHANISM;FIRST LONGITUDINAL AXIS;LONGITUDINAL AXIS;MEDICAMENT CARTRIDGE HOLDER;DRIVE ASSEMBLY;CARTRIDGE HOLDER;DRIVE SHAFT;INJECTION DEVICE	A61M 5/20;A61M 5/24;A61M 5/315	GB`NORTON HEALTHCARE
EP3509672A1	2019	2019-07-17	EP	2017	2017-09-11	GB`HEWSON, Karl, James;GB`KOOYMAN, Jeremy, James, Robert;GB`CASTRO PELAYO, Xorge;GB`DAVIES, James, Alexander;GB`HART, Oliver;GB`SHENKER, Joshua, Arieh;GB`MORRIS, Matthew, Alexander;GB`FORDHAM, Matthew, Keith	8	GB`Norton Healthcare Limited	1	DOSE DELIVERY MECHANISM;DELIVERY MECHANISM;MECHANISM;MOVEABLE;DISENGAGED STATE;ENGAGED STATE;INJECTION DEVICE;DOSE SELECTOR;DRIVE ASSEMBLY;MEDICAMENT	A61M 5/20;B82Y 5/315	GB`NORTON HEALTHCARE
EP3509671A1	2019	2019-07-17	EP	2017	2017-09-11	GB`HEWSON, Karl, James;GB`KOOYMAN, Jeremy, James, Robert;GB`CASTRO PELAYO, Xorge	3	GB`Norton Healthcare Limited	1	DOSE SETTING MECHANISM;SETTING MECHANISM;MECHANISM;RATCHET COMPONENT;SPLINE;DOSE SELECTOR;DOSE INDICATOR;RATCHET ARRANGEMENT;LONGITUDINAL AXIS;DEPRESSIBLE DOSE BUTTON	A61M 5/20;A61M 5/24;A61M 5/315	GB`NORTON HEALTHCARE
EP3509670A1	2019	2019-07-17	EP	2017	2017-09-08	DE`KLEMM, Thomas	1	DE`Sanofi-Aventis Deutschland GmbH	1	DRUG DELIVERY DEVICE;READING DEVICE;DELIVERY DEVICE;DEVICE;COMBINATION;INFRARED READABLE DATUM;DETECTED REFLECTED INFRARED RADIATION;COVERED PART;INFRARED RADIATION;READABLE DATUM	A61M 5/20;A61M 5/31	DE`SANOFI AVENTIS DEUTSCHLAND
EP3509669A1	2019	2019-07-17	EP	2017	2017-09-08	DE`REHBEIN, Christian;DE`HAGEBUSCH, Sven;DE`KNORR, Chris;DE`TOPOREK, Maurice;CH`FELBER, Matthias;CH`HEINRICH, Alexander	6	DE`Sanofi-Aventis Deutschland GmbH	1	DATA COLLECTION;INJECTION DEVICE;COLLECTION;ATTACHMENT;DEVICE;DATA COLLECTION DEVICE;MEDICAMENT ADMINISTRATION DEVICE;COLLECTION DEVICE;ADMINISTRATION DEVICE;INTERNAL COMPONENT	A61M 5/20;B82Y 5/315	DE`SANOFI AVENTIS DEUTSCHLAND
EP3509668A1	2019	2019-07-17	EP	2017	2017-08-18	SE`CARLSSON, Daniel;SE`RENSTAD, Rasmus;SE`MANSJÖ, Christina	3	CH`SHL Medical AG	1	RECORDING UNIT;HOLDER;UNIT;MEDICAMENT DELIVERY DEVICE;COMPRISING ATTACHMENT ELEMENT;DELIVERY DEVICE;ATTACHMENT ELEMENT;SUITABLE SURFACE;PRESENT INVENTION	A61M 5/20;A61M 5/14	CH`SHL MEDICAL AG
EP3509667A1	2019	2019-07-17	EP	2017	2017-08-25	FR`THOMAS, Fabien;FR`ARCHAT, Damien;FR`BERTAGNOLIO, Denis	3	FR`Fresenius Vial SAS	1	CLUTCHING DEVICE;INFUSION DEVICE;DEVICE;CLUTCHED STATE;DRIVING ROD;PUSHER DEVICE;CLUTCH ELEMENT;ELECTRIC DRIVE DEVICE;FRAME MEMBER;PUSHING DIRECTION	A61M 5/142;A61M 5/145;A61M 5/315	FR`FRESENIUS VIAL SAS
EP3509666A1	2019	2019-07-17	EP	2017	2017-09-08	US`Wei, Min	1	US`Wei, Min	1	MEDICATION INJECTION DEVICE;INJECTION DEVICE;DEVICE;CONTAINER BODY;PROXIMAL END;DISTAL END;MEDICATION CONTENT;CONTENT INJECTION FLUID PATHWAY;DISPLACING MEDICATION CONTENT;MEDICATION CONTENT DELIVERY	A61M 5/00;A61M 5/178;A61M 5/20;A61M 5/24;A61M 5/28;A61M 5/31;A61M 5/315	US`WEI MIN
EP3509665A1	2019	2019-07-17	EP	2017	2017-09-11	GB`HEWSON, Karl, James;GB`BOSTOCK, George;GB`SAVELL, George, Robert, Michael	3	GB`Norton Healthcare Limited	1	DOSE INDICATOR MECHANISM;INDICATOR MECHANISM;INJECTION DEVICE;MECHANISM;DEVICE;UNIT WHEEL;TEN WHEEL;BIASING MEANS BIAS;DOSE SELECTOR;TEN HOUSING FEATURE	A61M 5/00;A61M 5/20;A61M 5/315	GB`NORTON HEALTHCARE
